DATE,XTNTVA01KRM667S
2004-10-01,1945470110.7741902
2004-11-01,2189191505.20691
2004-12-01,2237157474.0345397
2005-01-01,4146077535.12571
2005-02-01,2333530262.49829
2005-03-01,1794441315.21978
2005-04-01,1560924518.68954
2005-05-01,1490269062.30022
2005-06-01,1726606183.27602
2005-07-01,1936181375.17305
2005-08-01,2219418773.49013
2005-09-01,1767661429.5956302
2005-10-01,1941089152.01082
2005-11-01,1440340188.4054902
2005-12-01,1337656929.5188801
2006-01-01,1328856920.83953
2006-02-01,1139587414.4937198
2006-03-01,1265219923.15259
2006-04-01,435380833.571659
2006-05-01,1728217647.13646
2006-06-01,1140438883.0046299
2006-07-01,-26012565.542057
2006-08-01,1432626435.8717
2006-09-01,2174084023.14396
2006-10-01,1497878586.8706498
2006-11-01,2861306474.1661496
2006-12-01,1260382969.3389602
2007-01-01,2704669839.88039
2007-02-01,1228703491.22545
2007-03-01,1233607316.5446799
2007-04-01,186552926.695972
2007-05-01,1018755467.98018
2007-06-01,1922453025.39265
2007-07-01,1378520370.45512
2007-08-01,2868460078.5476003
2007-09-01,900673670.915577
2007-10-01,1959375940.91027
2007-11-01,1150793052.9250102
2007-12-01,-1419020160.8373501
2008-01-01,-959198474.341827
2008-02-01,-1070803335.99033
2008-03-01,-1423557200.23017
2008-04-01,-414394522.963943
2008-05-01,-10872433.527496299
2008-06-01,-2867858291.59926
2008-07-01,-1128760465.2250102
2008-08-01,-2922691795.3646197
2008-09-01,-1954657269.86881
2008-10-01,1359111961.21368
2008-11-01,-1536186248.2156098
2008-12-01,520208752.6678501
2009-01-01,-1945228816.27547
2009-02-01,3639432463.00727
2009-03-01,3784374198.91904
2009-04-01,5257348978.47753
2009-05-01,3540742883.69608
2009-06-01,5313947128.03626
2009-07-01,4521725796.552771
2009-08-01,2192454653.49061
2009-09-01,4400914432.07519
2009-10-01,3185755414.43637
2009-11-01,3180221199.2881002
2009-12-01,3648241872.1881504
2010-01-01,1223100802.17693
2010-02-01,2801279603.57551
2010-03-01,2170101038.3881297
2010-04-01,3261371530.7774596
2010-05-01,3238496746.6362
2010-06-01,5081998277.79103
2010-07-01,4821187971.11057
2010-08-01,2758638952.22239
2010-09-01,4027404052.36903
2010-10-01,5660898014.48427
2010-11-01,1937657926.9334998
2010-12-01,4380451671.8310995
2011-01-01,6163146772.60379
2011-02-01,2153523835.37778
2011-03-01,3132763753.12866
2011-04-01,3518716643.80353
2011-05-01,1425582689.1205099
2011-06-01,176111492.736374
2011-07-01,3729630599.3842897
2011-08-01,2654635539.0645103
2011-09-01,1630738991.06676
2011-10-01,2413348209.78485
2011-11-01,2354629393.2277102
2011-12-01,2663603841.21939
2012-01-01,78533279.5066528
2012-02-01,3330014271.26801
2012-03-01,1879644932.27258
2012-04-01,823273896.0085369
2012-05-01,2721958204.64743
2012-06-01,3169513713.77122
2012-07-01,2385613657.94984
2012-08-01,3462793238.5043797
2012-09-01,2385438969.38667
2012-10-01,3347905981.11277
2012-11-01,3675470493.2658
2012-12-01,1633921834.15045
2013-01-01,4159367636.32976
2013-02-01,2749707557.7632303
2013-03-01,2822216702.7943897
2013-04-01,2079570979.0055602
2013-05-01,5864463185.55914
2013-06-01,3413404085.03408
2013-07-01,3095035445.96968
2013-08-01,6112340980.31437
2013-09-01,2613037359.23522
2013-10-01,4990215709.1123905
2013-11-01,3806179027.15564
2013-12-01,3746461263.73293
2014-01-01,4258546137.00076
2014-02-01,1997090894.69608
2014-03-01,2948416016.47237
2014-04-01,3976708509.65476
2014-05-01,4524908979.03249
2014-06-01,2988120075.1330004
2014-07-01,3068500243.24048
2014-08-01,4248286254.56773
2014-09-01,2935619720.7452903
2014-10-01,7029636872.38746
2014-11-01,3660403713.8469796
2014-12-01,6838402759.14439
2015-01-01,8727747597.83013
2015-02-01,8693094910.28202
2015-03-01,8190027721.549219
2015-04-01,7791676961.60313
2015-05-01,5927613299.60038
2015-06-01,8033867239.07877
2015-07-01,7733585384.004251
2015-08-01,5064410180.517639
2015-09-01,7842317658.30452
2015-10-01,6528692855.7391405
2015-11-01,9201533348.00154
2015-12-01,7662857922.5347395
2016-01-01,6968000958.16811
2016-02-01,8221207146.23609
2016-03-01,9735123352.097841
2016-04-01,7578867572.8830805
2016-05-01,7106260363.330701
2016-06-01,9612322119.428461
2016-07-01,6802346055.568319
2016-08-01,6880821607.93817
2016-09-01,5755543901.2
2016-10-01,6156714577.63689
2016-11-01,7774817520.783299
2016-12-01,7149840965.05047
2017-01-01,5013001062.412371
